seq,stateDt,stateTime,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate,createDt,updateDt
208,20200723,0:00,13938,12758,21418,297,883,1465498,1500854,1479436,0.942115779,38:02.3,null
209,20200724,0:00,13979,12817,20559,298,864,1475789,1510327,1489768,0.938334022,05:48.0,null
210,20200725,0:00,14092,12866,19681,298,928,1484861,1518634,1498953,0.940122872,19:50.2,null
211,20200726,0:00,14150,12890,19214,298,962,1489562,1522926,1503712,0.94100466,28:23.6,null
212,20200727,0:00,14175,12905,18770,299,971,1494029,1526974,1508204,0.939859595,35:55.4,null
213,20200728,0:00,14203,13007,20444,300,896,1503057,1537704,1517260,0.93609533,31:12.1,null
214,20200729,0:00,14251,13069,19326,300,882,1513730,1547307,1527981,0.932668665,44:55.2,null
215,20200730,0:00,14269,13132,19018,300,837,1522928,1556215,1537197,0.928247973,11:23.0,14:10.8
216,20200731,0:00,14305,13183,18330,301,821,1531161,1563796,1545466,0.925610787,36:44.9,null
217,20200801,0:00,14336,13233,18278,301,802,1539216,1571830,1553552,0.922788552,20:04.0,null
218,20200802,0:00,14366,13259,17768,301,806,1544112,1576246,1558478,0.921796779,17:01.0,null
219,20200803,0:00,14389,13280,17401,301,808,1547967,1579757,1562356,0.920980878,22:38.4,null
220,20200804,0:00,14423,13352,18724,301,770,1556633,1589780,1571056,0.918044933,49:58.6,null
221,20200805,0:00,14456,13406,18490,302,748,1565241,1598187,1579697,0.915112202,20:58.2,null
222,20200806,0:00,14499,13501,18031,302,696,1573957,1606487,1588456,0.912773158,22:46.9,null
223,20200807,0:00,14519,13543,17068,303,673,1582065,1613652,1596584,0.909379024,11:42.7,null
224,20200808,0:00,14562,13629,16105,304,629,1589847,1620514,1604409,0.907623929,18:57.2,null
225,20200809,0:00,14598,13642,16803,305,651,1593249,1624650,1607847,0.907922209,42:31.5,null
226,20200810,0:00,14626,13658,16396,305,663,1597281,1628303,1611907,0.907372448,37:49.2,null
227,20200811,0:00,14660,13729,17489,305,626,1605695,1637844,1620355,0.904740011,28:37.0,null
228,20200812,0:00,14714,13786,17375,305,623,1614563,1646652,1629277,0.903099964,41:22.2,null
229,20200813,0:00,14770,13817,17798,305,648,1622330,1654898,1637100,0.902205119,26:12.7,null
230,20200814,0:00,14873,13863,20132,305,705,1630079,1665084,1644952,0.904160121,25:20.2,null
231,20200815,0:00,15039,13901,21618,305,833,1638639,1675296,1653678,0.909427349,04:10.1,null
232,20200816,0:00,15318,13910,22005,305,1103,1644464,1681787,1659782,0.922892283,33:30.8,null
233,20200817,0:00,15515,13917,22964,305,1293,1649991,1688470,1665506,0.931548731,12:22.9,null
234,20200818,0:00,15761,13934,25219,306,1521,1656062,1697042,1671823,0.942743341,13:01.5,null
235,20200819,0:00,16058,14006,31022,306,1746,1667984,1715064,1684042,0.953539164,12:19.4,null
236,20200820,0:00,16346,14063,34998,307,1976,1682739,1734083,1699085,0.96204722,13:52.6,null
237,20200821,0:00,16670,14120,38045,309,2241,1699408,1754123,1716078,0.971401067,21:09.8,null
238,20200822,0:00,17002,14169,42427,309,2524,1716371,1775800,1733373,0.980862169,15:55.5,null
239,20200823,0:00,17399,14200,47564,309,2890,1726223,1791186,1743622,0.997865363,21:59.5,null
240,20200824,0:00,17665,14219,47995,309,3137,1738762,1804422,1756427,1.005734938,17:43.8,null
241,20200825,0:00,17945,14286,50362,310,3349,1757530,1825837,1775475,1.010715442,23:00.2,null
242,20200826,0:00,18265,14368,52795,312,3585,1778446,1849506,1796711,1.016579739,20:54.1,null
243,20200827,0:00,18706,14461,52041,313,3932,1798832,1869579,1817538,1.029194438,15:47.3,null
244,20200828,0:00,19077,14551,50711,316,4210,1817929,1887717,1837006,1.038483271,39:46.1,null
245,20200829,0:00,19400,14765,54046,321,4314,1835883,1909329,1855283,1.045662575,56:02.1,null
246,20200830,0:00,19699,14903,58021,323,4473,1846450,1924170,1866149,1.055596311,37:35.2,null
247,20200831,0:00,19947,14973,57876,324,4650,1859866,1937689,1879813,1.061116185,32:30.2,null
248,20200901,0:00,20182,15198,56743,324,4660,1882155,1959080,1902337,1.060905612,32:28.2,null
249,20200902,0:00,20449,15356,56748,326,4767,1903098,1980295,1923547,1.063088139,20:17.6,null
250,20200903,0:00,20644,15529,55524,329,4786,1924384,2000552,1945028,1.061372895,37:35.8,null
251,20200904,0:00,20842,15783,52266,331,4728,1945798,2018906,1966640,1.059777082,46:40.7,null
252,20200905,0:00,21010,16009,52077,333,4668,1963958,2037045,1984968,1.05845535,34:11.9,null
253,20200906,0:00,21177,16146,49621,334,4697,1975137,2045935,1996314,1.060805064,48:30.8,null
254,20200907,0:00,21296,16297,47109,336,4663,1982892,2051297,2004188,1.062574968,34:32.0,null
255,20200908,0:00,21432,16636,43370,341,4455,2001276,2066078,2022708,1.059569646,34:17.3,null
256,20200909,0:00,21588,17023,36533,344,4221,2024113,2082234,2045701,1.055286183,04:44.8,null
257,20200910,0:00,21743,17360,33018,346,4037,2044830,2099591,2066573,1.05212833,43:44.8,null
258,20200911,0:00,21919,17616,29423,350,3953,2067869,2119211,2089788,1.048862373,34:22.3,null
259,20200912,0:00,22055,18029,27826,355,3671,2085576,2135457,2107631,1.046435548,03:19.8,null
260,20200913,0:00,22176,18226,27705,358,3592,2093389,2143270,2115565,1.048230615,05:38.7,null
261,20200914,0:00,22285,18489,27476,363,3433,2101241,2151002,2123526,1.049433819,54:39.9,null
262,20200915,0:00,22391,18878,27310,367,3146,2114877,2164578,2137268,1.047645873,48:41.8,null
263,20200916,0:00,22504,19310,25842,367,2827,2130486,2178832,2152990,1.045244056,37:10.6,null
264,20200917,0:00,22657,19543,25508,372,2742,2143727,2191892,2166384,1.045844135,09:16.9,null
265,20200918,0:00,22783,19771,25403,377,2635,2158179,2206365,2180962,1.044630764,58:09.8,null
266,20200919,0:00,22893,19970,24705,378,2545,2171564,2219162,2194457,1.043219348,09:15.9,null
267,20200920,0:00,22975,20158,24274,383,2434,2179452,2226701,2202427,1.043167379,52:54.0,null
268,20200921,0:00,23045,20248,22536,385,2412,2186008,2231589,2209053,1.043207202,01:43.0,null
269,20200922,0:00,23106,20441,23222,388,2277,2198784,2245112,2221890,1.039925469,08:48.1,null
270,20200923,0:00,23216,20650,20527,388,2178,2213156,2256899,2236372,1.038109939,10:59.6,null
271,20200924,0:00,23341,20832,20782,393,2116,2224876,2268999,2248217,1.038200494,06:21.9,null
272,20200925,0:00,23455,20978,19575,395,2082,2237246,2280276,2260701,1.037510047,56:13.8,null
273,20200926,0:00,23516,21166,18508,399,1951,2248321,2290345,2271837,1.035109473,01:53.3,null
274,20200927,0:00,23611,21248,18878,401,1962,2254028,2296517,2277639,1.036643647,12:36.1,null
